id,date,open,high,low,close,volume,market_cap,crypto_id
185,2015-03-20,260.956,264.848,259.162,261.749,262,18456700,1
186,2015-03-21,261.644,262.196,255.65,260.025,260,17130100,1
187,2015-03-22,259.917,269.747,259.59,267.96,268,18438100,1
188,2015-03-23,267.895,277.297,261.745,266.74,267,22811900,1
189,2015-03-24,266.577,267.003,244.155,245.595,246,40073700,1
190,2015-03-25,247.472,249.19,236.515,246.197,246,35866900,1
191,2015-03-26,246.276,254.354,244.905,248.532,249,25730000,1
192,2015-03-27,248.566,256.811,245.213,247.029,247,17274900,1
193,2015-03-28,246.975,254.205,246.975,252.798,253,16040900,1
194,2015-03-29,252.74,253.139,240.85,242.713,243,21699400,1
195,2015-03-30,242.879,249.242,239.214,247.526,248,23009600,1
196,2015-03-31,247.454,248.73,242.739,244.224,244,22672000,1
197,2015-04-01,244.223,247.541,241.16,247.272,247,22877200,1
198,2015-04-02,247.089,254.461,245.416,253.005,253,26272600,1
199,2015-04-03,253.074,256.043,251.879,254.322,254,23146600,1
200,2015-04-04,254.291,255.258,251.1,253.697,254,12493500,1
201,2015-04-05,253.761,260.675,251.942,260.598,261,19649200,1
202,2015-04-06,260.721,261.798,254.575,255.492,255,20034200,1
203,2015-04-07,255.274,255.805,252.205,253.18,253,18467400,1
204,2015-04-08,253.064,253.847,244.215,245.022,245,30086400,1
205,2015-04-09,244.751,246.118,239.4,243.676,244,21643500,1
206,2015-04-10,243.694,243.694,232.771,236.072,236,28882000,1
207,2015-04-11,236.016,239.537,234.175,236.552,237,16365200,1
208,2015-04-12,236.535,237.728,233.495,236.153,236,12387900,1
209,2015-04-13,235.95,236.935,221.996,224.587,225,31181800,1
210,2015-04-14,224.759,224.976,216.323,219.159,219,31719000,1
211,2015-04-15,219.073,223.833,218.649,223.833,224,22562000,1
212,2015-04-16,223.917,229.672,223.917,228.573,229,24805400,1
213,2015-04-17,228.575,228.906,221.942,222.882,223,20429800,1
214,2015-04-18,222.853,224.316,220.876,223.356,223,12939000,1
215,2015-04-19,223.456,226.353,222.373,222.6,223,15021500,1
216,2015-04-20,222.612,226.351,221.977,224.626,225,18364700,1
217,2015-04-21,224.62,235.269,224.301,235.269,235,24978000,1
218,2015-04-22,235.602,237.909,233.476,234.176,234,23847900,1
219,2015-04-23,234.053,236.475,233.199,236.462,236,17036000,1
220,2015-04-24,235.97,236.305,229.933,231.268,231,21448700,1
221,2015-04-25,231.235,232.561,226.337,226.39,226,13957200,1
222,2015-04-26,226.41,226.944,214.874,219.43,219,28943700,1
223,2015-04-27,219.429,233.305,218.023,229.286,229,38574000,1
224,2015-04-28,228.969,229.495,223.069,225.855,226,21469200,1
225,2015-04-29,225.591,227.04,223.43,225.808,226,18936500,1
226,2015-04-30,225.693,239.563,224.993,236.145,236,33818600,1
227,2015-05-01,235.939,238.966,232.079,232.079,232,18815300,1
228,2015-05-02,232.341,235.727,232.341,234.93,235,12535500,1
229,2015-05-03,234.88,243.24,234.083,240.358,240,18494100,1
230,2015-05-04,240.356,242.638,237.81,239.018,239,21223400,1
231,2015-05-05,238.852,239.204,232.054,236.121,236,23929100,1
232,2015-05-06,236.249,236.454,229.231,229.782,230,29587200,1
233,2015-05-07,229.662,239.105,228.573,237.334,237,29064400,1
234,2015-05-08,237.204,246.275,236.274,243.863,244,27445500,1
235,2015-05-09,243.769,247.804,239.639,241.832,242,19790500,1
236,2015-05-10,241.729,244.068,238.849,240.296,240,15019100,1
237,2015-05-11,240.299,244.27,239.376,242.158,242,20892300,1
238,2015-05-12,242.145,242.881,240.099,241.112,241,19282600,1
239,2015-05-13,241.398,243.704,235.045,236.377,236,27180100,1
240,2015-05-14,236.214,237.799,234.057,236.929,237,24413700,1
241,2015-05-15,236.955,238.753,236.795,237.605,238,16329400,1
242,2015-05-16,237.644,237.697,235.295,236.153,236,11089700,1
243,2015-05-17,236.01,238.025,236.01,236.802,237,11134300,1
244,2015-05-18,236.887,237.21,232.46,233.128,233,16780300,1
245,2015-05-19,233.037,234.151,231.817,231.947,232,14241900,1
246,2015-05-20,231.89,234.683,231.842,234.018,234,15499400,1
247,2015-05-21,234.016,236.242,233.835,235.344,235,15108900,1
248,2015-05-22,235.321,240.969,235.06,240.348,240,27003000,1
249,2015-05-23,240.286,241.025,238.691,238.872,239,14605000,1
250,2015-05-24,238.976,241.978,238.811,240.953,241,11508000,1
251,2015-05-25,240.927,241.021,236.637,237.11,237,14423900,1
252,2015-05-26,237.104,238.242,235.692,237.116,237,16425000,1
253,2015-05-27,237.065,238.636,236.695,237.283,237,18837000,1
254,2015-05-28,237.257,237.824,236.652,237.408,237,13829600,1
255,2015-05-29,237.377,237.522,235.731,237.096,237,14805000,1
256,2015-05-30,237.092,237.093,232.046,233.345,233,14098600,1
257,2015-05-31,233.135,233.252,229.542,230.19,230,14730800,1
258,2015-06-01,230.233,231.713,221.296,222.926,223,26090500,1
259,2015-06-02,222.894,226.416,222.419,225.803,226,20459000,1
260,2015-06-03,225.736,227.404,223.93,225.874,226,17752400,1
261,2015-06-04,225.772,226.581,224.054,224.324,224,14728100,1
262,2015-06-05,224.154,225.968,223.179,224.952,225,18056500,1
263,2015-06-06,225.005,225.719,224.379,225.619,226,11131500,1
264,2015-06-07,225.596,226.194,222.652,222.881,223,13318400,1
265,2015-06-08,222.879,229.464,222.839,228.489,228,23378400,1
266,2015-06-09,228.538,230.954,227.929,229.048,229,28353100,1
267,2015-06-10,228.995,229.782,228.01,228.803,229,15904800,1
268,2015-06-11,228.855,230.287,228.767,229.705,230,14416000,1
269,2015-06-12,229.705,231.057,229.313,229.982,230,14017700,1
270,2015-06-13,229.92,232.652,229.21,232.402,232,13305300,1
271,2015-06-14,232.442,234.858,232.004,233.543,234,12165900,1
272,2015-06-15,233.422,237.836,233.422,236.823,237,19912100,1
273,2015-06-16,236.765,251.742,236.122,250.895,251,41612000,1
274,2015-06-17,250.823,256.853,246.476,249.284,249,43858400,1
275,2015-06-18,249.428,252.108,244.127,249.007,249,30980200,1
276,2015-06-19,249.043,250.977,243.787,244.606,245,23965300,1
277,2015-06-20,244.53,245.828,240.627,245.212,245,20608100,1
278,2015-06-21,245.1,245.224,241.882,243.944,244,10600900,1
279,2015-06-22,243.969,247.917,243.779,246.99,247,17692500,1
280,2015-06-23,246.927,247.304,243.133,244.296,244,15108700,1
281,2015-06-24,244.282,244.341,240.515,240.515,241,17344900,1
282,2015-06-25,240.365,243.332,240.365,242.799,243,16133100,1
283,2015-06-26,242.604,243.749,241.553,243.594,244,13983500,1
284,2015-06-27,243.549,251.339,243.117,250.99,251,20488600,1
285,2015-06-28,250.955,251.172,247.434,249.011,249,15137600,1
286,2015-06-29,248.721,257.173,248.581,257.064,257,34742900,1
287,2015-06-30,257.036,267.867,255.946,263.072,263,44533800,1
288,2015-07-01,263.345,265.172,255.774,258.621,259,27029800,1
289,2015-07-02,258.552,261.631,254.116,255.412,255,21551900,1
290,2015-07-03,255.459,257.077,253.505,256.336,256,19033800,1
291,2015-07-04,256.491,261.457,254.2,260.886,261,15620400,1
292,2015-07-05,260.805,274.506,258.701,271.913,272,44156100,1
293,2015-07-06,271.108,277.422,267.6,269.03,269,49154800,1
294,2015-07-07,269.963,271.341,264.832,266.207,266,28857600,1
295,2015-07-08,265.982,272.971,264.386,270.785,271,36980200,1
296,2015-07-09,270.827,272.335,267.086,269.228,269,40301200,1
297,2015-07-10,269.156,294.591,268.802,284.894,285,100390000,1
298,2015-07-11,284.88,298.506,283.53,293.115,293,41109900,1
299,2015-07-12,293.14,314.394,292.505,310.867,311,56405000,1
300,2015-07-13,310.827,310.948,281.011,292.054,292,62053900,1
301,2015-07-14,292.034,296.147,286.638,287.464,287,28727200,1
302,2015-07-15,288.045,293.248,285.367,285.829,286,27486600,1
303,2015-07-16,286.042,291.183,275.24,278.089,278,49482600,1
304,2015-07-17,278.091,280.28,272.043,279.472,279,27591400,1
305,2015-07-18,279.331,282.527,274.075,274.901,275,25187100,1
306,2015-07-19,274.767,275.67,272.513,273.614,274,15332500,1
307,2015-07-20,273.499,278.981,272.96,278.981,279,22711400,1
308,2015-07-21,278.882,280.547,275.419,275.833,276,22930700,1
309,2015-07-22,275.657,277.666,274.381,277.222,277,19389800,1
310,2015-07-23,277.341,278.111,275.716,276.049,276,18531300,1
311,2015-07-24,276.005,289.253,275.254,288.278,288,37199400,1
312,2015-07-25,288.164,290.733,286.002,288.697,289,20662200,1
313,2015-07-26,288.64,293.052,287.706,292.686,293,16032300,1
314,2015-07-27,292.639,297.774,287.45,293.624,294,30592000,1
315,2015-07-28,293.633,296.649,293.423,294.427,294,25453600,1
316,2015-07-29,294.484,294.536,288.777,289.59,290,24672600,1
317,2015-07-30,289.103,290.126,286.568,287.722,288,21635800,1
318,2015-07-31,287.696,288.959,282.344,284.65,285,23629100,1
319,2015-08-01,284.686,284.932,278.112,281.601,282,18995000,1
320,2015-08-02,280.449,283.032,277.529,282.614,283,17722200,1
321,2015-08-03,282.806,285.471,280.233,281.227,281,21474100,1
322,2015-08-04,281.225,285.715,281.225,285.218,285,21908700,1
323,2015-08-05,284.847,285.501,281.488,281.882,282,20128000,1
324,2015-08-06,281.906,281.906,278.403,278.577,279,18792100,1
325,2015-08-07,278.741,280.392,276.366,279.585,280,42484800,1
326,2015-08-08,279.742,279.928,260.71,260.997,261,58533000,1
327,2015-08-09,261.116,267.003,260.468,265.083,265,23789600,1
328,2015-08-10,265.478,267.032,262.596,264.47,264,20979400,1
329,2015-08-11,264.342,270.386,264.094,270.386,270,25433900,1
330,2015-08-12,270.598,270.673,265.469,266.376,266,26815400,1
331,2015-08-13,266.183,266.232,262.841,264.08,264,27685500,1
332,2015-08-14,264.132,267.466,261.478,265.68,266,27091200,1
333,2015-08-15,265.529,266.667,261.296,261.551,262,19321100,1
334,2015-08-16,261.866,262.44,257.041,258.507,259,29717000,1
335,2015-08-17,258.49,260.505,257.117,257.976,258,21617900,1
336,2015-08-18,257.926,257.993,211.079,211.079,211,42147200,1
337,2015-08-19,225.671,237.409,222.766,226.684,227,60869200,1
338,2015-08-20,226.899,237.365,226.899,235.35,235,32275000,1
339,2015-08-21,235.355,236.432,231.724,232.569,233,23173800,1
340,2015-08-22,232.662,234.957,222.704,230.39,230,23205900,1
341,2015-08-23,230.376,232.705,225.58,228.169,228,18406600,1
342,2015-08-24,228.112,228.139,210.443,210.495,210,59220700,1
343,2015-08-25,210.068,226.321,199.567,221.609,222,61089200,1
344,2015-08-26,222.076,231.183,220.204,225.831,226,31808000,1
345,2015-08-27,226.05,228.643,223.684,224.769,225,21905400,1
346,2015-08-28,224.701,235.219,220.926,231.396,231,31336600,1
347,2015-08-29,231.549,233.222,227.33,229.78,230,17142500,1
348,2015-08-30,229.895,232.068,226.247,228.761,229,19412600,1
349,2015-08-31,229.114,231.956,225.915,230.056,230,20710700,1
350,2015-09-01,230.256,231.216,226.86,228.121,228,20575200,1
351,2015-09-02,228.027,230.577,226.475,229.284,229,18760400,1
352,2015-09-03,229.324,229.605,226.667,227.183,227,17482000,1
353,2015-09-04,227.215,230.9,227.051,230.298,230,20962400,1
354,2015-09-05,230.199,236.143,229.443,235.019,235,20671400,1
355,2015-09-06,234.87,242.912,234.681,239.84,240,25473700,1
356,2015-09-07,239.934,242.106,238.722,239.847,240,21192200,1
357,2015-09-08,239.846,245.781,239.678,243.607,244,26879200,1
358,2015-09-09,243.415,244.416,237.821,238.168,238,23635700,1
359,2015-09-10,238.336,241.293,235.791,238.477,238,21215500,1
360,2015-09-11,238.329,241.169,238.329,240.107,240,19224700,1
361,2015-09-12,239.855,240.124,234.754,235.229,235,17962600,1
362,2015-09-13,235.242,235.935,229.332,230.512,231,18478800,1
363,2015-09-14,230.609,232.44,227.961,230.644,231,20997800,1
364,2015-09-15,230.492,259.182,229.822,230.304,230,19177800,1
365,2015-09-16,230.25,231.215,227.402,229.091,229,20144200,1
366,2015-09-17,229.076,230.285,228.926,229.81,230,18935400,1
367,2015-09-18,233.521,234.353,232.185,232.975,233,20242200,1
368,2015-09-19,232.858,233.205,231.089,231.493,231,12712600,1
369,2015-09-20,231.399,232.365,230.91,231.212,231,14444700,1
370,2015-09-21,231.217,231.217,226.521,227.085,227,19678800,1
371,2015-09-22,226.969,232.386,225.117,230.618,231,25009300,1
372,2015-09-23,230.936,231.835,229.591,230.283,230,17254100,1
373,2015-09-24,230.358,235.649,230.295,234.529,235,25097800,1
374,2015-09-25,234.362,237.427,233.684,235.144,235,22363600,1
375,2015-09-26,235.076,235.403,233.358,234.34,234,13724100,1
376,2015-09-27,234.139,234.526,232.476,232.757,233,14179900,1
377,2015-09-28,232.836,239.339,232.467,239.142,239,24713000,1
378,2015-09-29,239.016,239.802,235.928,236.687,237,22691300,1
379,2015-09-30,236.64,237.734,235.629,236.06,236,19743500,1
380,2015-10-01,236.004,238.445,235.616,237.549,238,20488800,1
381,2015-10-02,237.264,238.541,236.603,237.293,237,19677900,1
382,2015-10-03,237.202,239.315,236.944,238.73,239,16482700,1
383,2015-10-04,238.531,238.968,237.94,238.259,238,12999000,1
384,2015-10-05,238.147,240.383,237.035,240.383,240,23335900,1
385,2015-10-06,240.364,246.935,240.136,246.063,246,27535100,1
386,2015-10-07,246.17,246.681,242.585,242.969,243,22999200,1
387,2015-10-08,243.075,244.251,242.179,242.304,242,18515300,1
388,2015-10-09,242.498,244.228,242.122,243.931,244,17353100,1
389,2015-10-10,243.74,245.319,243.074,244.941,245,15912700,1
390,2015-10-11,244.742,247.243,244.152,247.05,247,16827300,1
391,2015-10-12,246.875,247.454,245.179,245.308,245,17388300,1
392,2015-10-13,245.2,250.236,243.757,249.508,250,28198500,1
393,2015-10-14,249.493,254.275,248.903,251.989,252,27462600,1
394,2015-10-15,252.107,255.962,252.046,254.32,254,25223500,1
395,2015-10-16,254.296,266.135,253.926,262.869,263,35901500,1
396,2015-10-17,262.747,273.578,262.367,270.64,271,43199600,1
397,2015-10-18,270.907,271.668,260.777,261.643,262,22434300,1
398,2015-10-19,261.861,264.82,260.951,263.437,263,25258800,1
399,2015-10-20,263.572,270.835,263.227,269.463,269,30889800,1
400,2015-10-21,269.306,270.77,263.839,266.272,266,25637300,1
401,2015-10-22,266.496,276.51,266.135,274.023,274,37808600,1
402,2015-10-23,273.649,278.684,273.543,276.496,276,29442500,1
403,2015-10-24,276.504,281.706,276.504,281.654,282,25942400,1
404,2015-10-25,281.445,294.059,281.445,283.68,284,45717100,1
405,2015-10-26,283.628,285.3,280.51,285.3,285,32108800,1
406,2015-10-27,285.181,296.212,285.008,293.788,294,46331800,1
407,2015-10-28,293.703,306.331,293.703,304.618,305,50808100,1
408,2015-10-29,304.324,318.17,301.823,313.855,314,64495900,1
409,2015-10-30,313.943,334.169,313.94,328.015,328,78305000,1
410,2015-10-31,328.512,332.777,309.251,314.166,314,48598100,1
411,2015-11-01,315.005,327.472,311.881,325.431,325,37001100,1
412,2015-11-02,325.942,365.36,323.209,361.189,361,101918000,1
413,2015-11-03,361.873,417.9,357.647,403.417,403,206162000,1
414,2015-11-04,403.664,495.562,380.548,411.563,412,263900000,1
415,2015-11-05,408.077,447.561,374.581,386.354,386,151824992,1
416,2015-11-06,388.047,395.836,354.025,374.47,374,122687000,1
417,2015-11-07,374.269,390.586,372.433,386.482,386,56625100,1
418,2015-11-08,384.278,389.895,368.7,373.368,373,51817600,1
419,2015-11-09,374.324,385.278,362.895,380.257,380,68224400,1
420,2015-11-10,379.984,381.387,329.108,336.819,337,95797904,1
421,2015-11-11,339.82,340.585,300.997,311.084,311,107070000,1
